epoch,accuracy,loss,val_accuracy,val_loss
0,0.37558814883232117,1.3187971115112305,0.42363113164901733,1.2779096364974976
1,0.6460005640983582,0.9649766683578491,0.6657060384750366,0.9300272464752197
2,0.796567976474762,0.5759369730949402,0.6945244669914246,0.8004999160766602
3,0.8427899479866028,0.42043155431747437,0.7060518860816956,0.7797185182571411
4,0.8807085752487183,0.33657601475715637,0.7002881765365601,0.8188256621360779
5,0.9017437100410461,0.28296032547950745,0.7002881765365601,0.8661106824874878
6,0.922778844833374,0.23376233875751495,0.6714697480201721,0.9104878902435303
7,0.9346803426742554,0.19612258672714233,0.6743515729904175,0.9774857759475708
8,0.9432604312896729,0.16838200390338898,0.6743515729904175,1.050322413444519
9,0.9543315768241882,0.14729301631450653,0.6829971075057983,1.0900410413742065
10,0.9595903754234314,0.12996947765350342,0.6685879230499268,1.170262336730957
11,0.9670633673667908,0.1130477711558342,0.6570605039596558,1.2204883098602295
12,0.9717686176300049,0.10533791035413742,0.6772334575653076,1.256770372390747
13,0.972045361995697,0.09553581476211548,0.6743515729904175,1.3371869325637817
14,0.9725989699363708,0.09530390799045563,0.6570605039596558,1.4015936851501465
15,0.9725989699363708,0.09128392487764359,0.6685879230499268,1.3711798191070557
16,0.9778577089309692,0.0841899961233139,0.6685879230499268,1.4510926008224487
17,0.9759202599525452,0.07775760442018509,0.6570605039596558,1.4861094951629639
18,0.974259614944458,0.07928846776485443,0.6714697480201721,1.4845658540725708
19,0.9773041605949402,0.07066892087459564,0.6570605039596558,1.5591881275177002
20,0.973706066608429,0.07473473250865936,0.6570605039596558,1.5515433549880981
21,0.9800719618797302,0.06414224952459335,0.6484149694442749,1.6521531343460083
22,0.977027416229248,0.06404555588960648,0.6628242135047913,1.6361409425735474
23,0.975089967250824,0.066975437104702,0.6685879230499268,1.5979480743408203
24,0.9775809645652771,0.06216961517930031,0.651296854019165,1.63058602809906
